tweets,date,city,user_location,id,link
"Si hay desórdenes en Cali, actuará la Policía y no el Esmad: secretario de Seguridad https://t.co/sC0mS5Xtwc a través de @rcnradio",2021-05-19 14:34:44,Cali,"Cali, Valle. Colombia",1395025132859674634,https://twitter.com/i/web/stuatus/1395025132859674634
"@ClaudiaLopez Alcaldesa, usted sabe que es el mando alto entre la policía? Es decir, tiene la palabra para decirle al ESMAD y a la policía que pare de hacer actos de violencia contra los protestantes ya que es un derecho legítimo... Es solo para recordarle algo importante de su cargo.",2021-05-19 14:30:59,Cali,Colombia,1395024187316703234,https://twitter.com/i/web/stuatus/1395024187316703234
"@NoticiasCaracol Qué pague la policia y el Esmad. Es lo justo. Igual acá nos ponen a pagar corrupción, salarios de incompetentes, por lo menos esto es para pedir cambios.",2021-05-19 14:30:28,Cali,"Bogotá, DC, Colombia",1395024059075858435,https://twitter.com/i/web/stuatus/1395024059075858435
"Maldita policía, maldito ESMAD, maldita @ClaudiaLopez. https://t.co/2BpA3blhQC",2021-05-19 14:26:33,Cali,"Bogotá, D.C., Colombia",1395023071132651524,https://twitter.com/i/web/stuatus/1395023071132651524
#MamadosDe. @darcyquinnr la diferencia con la acción policial contra los que destruyen los bienes públicos en EEUU es que allá sí los capturan. Aquí contemplan el vandalismo nocturno porque ni bobos que fueran Policía/ESMAD en coger a su propia gente. @MabelLaraNews @gusgomez1701,2021-05-19 14:18:18,Cali,Cali - Colombia,1395020996017590286,https://twitter.com/i/web/stuatus/1395020996017590286
"Curioso ver más ESMAD y policía dentro del centro comercial ""Nuestro Bogotá"" que clientes",2021-05-19 14:09:32,Cali,"Bogotá, D.C., Colombia",1395018790967070720,https://twitter.com/i/web/stuatus/1395018790967070720
"@dw_espanol ¿Se puede pretender que no haya indignación cuando la policía y su escuadrón de la muerte el #Esmad ni siquiera respetan a una niña en primera infancia?
https://t.co/3FEiMRnv2i",2021-05-19 14:06:54,Cali,Colombia,1395018129546301444,https://twitter.com/i/web/stuatus/1395018129546301444
"Mientras el ESMAD está incontrolable golpeando, a todos los jóvenes que protestan, @ClaudiaLopez que es la jefe de la policía, está diciendo que la culpa de las marchas es de @petrogustavo y un enfrentamiento entre Petro yUribe.

De ese calibre es la alcaldesa que tenemos.",2021-05-19 14:02:58,Cali,"Bogotá, D.C., Colombia",1395017138339975169,https://twitter.com/i/web/stuatus/1395017138339975169
"Maldito ESMAD. Maldita policía, maldito Duque, maldito Uribe, maldita @ClaudiaLopez. https://t.co/UPi47ex8gh",2021-05-19 13:51:03,Cali,"Bogotá, D.C., Colombia",1395014138380931073,https://twitter.com/i/web/stuatus/1395014138380931073
@enoorman @totonia68 @CNNEE @dw_espanol @CIDH violencia del #Esmad contra niña policía fuera de control atacando menores de edad violando y abusando sexualmente @CorteIDH @AOC @FareedZakaria @cancinodiegoa @CMonteroOficial #ParoNacional19M https://t.co/w3VljknIlr,2021-05-19 13:50:06,Cali,Colombia,1395013897816616970,https://twitter.com/i/web/stuatus/1395013897816616970
@dianalunareja @Rivas_Santiago Muchos hijueputas!!! #malditoscerdos!! Esmad de mierda policía de mierda!! 😡😡,2021-05-19 13:43:51,Cali,"Bogotá, D.C., Colombia",1395012328656150528,https://twitter.com/i/web/stuatus/1395012328656150528
"@ClaudiaLopez Sra responda por el centro de torturas al cuál convirtieron el portal Américas, ud también va a tener que responder por todo lo que deja que hagan sus muchachos de la policía y Esmad. Cómplice... me pregunto si está gente tiene conciencia 😡",2021-05-19 13:39:15,Cali,colombia,1395011168977276931,https://twitter.com/i/web/stuatus/1395011168977276931
"#NoMas Corruptos rigiendo el país, ni policía asesina, ni militares narcos, ni esmad arrastrada odiando a los jóvenes.",2021-05-19 13:36:26,Cali,"Bogotá, D.C., Colombia",1395010459145801728,https://twitter.com/i/web/stuatus/1395010459145801728
"Con lo de @QuinteroCalle en Medellín, ya ven por qué @ClaudiaLopez en Bogotá se la pasa calladita apoyando la reforma, haciéndose la loca por lo qué pasa con la Policía y el ESMAD. Por qué sabe que si habla la sacan. O no @AlvaroUribeVel @IvanDuque ?",2021-05-19 13:30:39,Cali,"Bogotá, D.C., Colombia",1395009003734847491,https://twitter.com/i/web/stuatus/1395009003734847491
"@natiibedoya #MamadosDe el uribismo, el @CeDemocratico , del pa policía, Del ESMAD, de las bodegas uribistas y de los que les pagan por escribir sin criterio propio sino de partido",2021-05-19 13:23:26,Cali,"Bogotá, D.C., Colombia",1395007187429347329,https://twitter.com/i/web/stuatus/1395007187429347329
"@rcnradio La policía Nacional sin el componente del ESMAD no esta entrenada, capacitada y dotada para enfrentar terrorismo urbano bajo la modalidad del vandalismo asi que la policía debe de abstenerse de actuar bajo estas condiciones por preservación de la integridad de sus integrantes.",2021-05-19 13:21:04,Cali,Colombia,1395006593079648259,https://twitter.com/i/web/stuatus/1395006593079648259
"El alcalde de Cali dice q no va a haber ESMAD en el paro hoy, q si hay problemas va a responder la Policía normal. Me parece peligroso. Justamente la idea del ESMAD es q no tienen armas letales, mandar policías con armasde fuego es justamente lo opuesto de desescalar el conflicto",2021-05-19 13:18:55,Cali,"Bogotá, D.C., Colombia",1395006050634457088,https://twitter.com/i/web/stuatus/1395006050634457088
"El Emperadorcito saca del combate al Esmad, y mete la policía, cómo si los energúmenos los respetaran.",2021-05-19 13:18:00,Cali,Cali-valle del Cauca,1395005820656656388,https://twitter.com/i/web/stuatus/1395005820656656388
"#MamadosDe Esta Narcodictadura de la corrupción, y de los asesinatos por parte de la policía y el ESMAD",2021-05-19 13:16:00,Cali,"Bogotá, D.C., Colombia",1395005320452263939,https://twitter.com/i/web/stuatus/1395005320452263939
"@ClaudiaLopez nos está masacrando en Kennedy, conjuntos, gente que trabaja, gente que no tiene oportunidades a todos el ESMAD y la policía los está agrediendo, Claudia pare la masacre...@petrogustavo https://t.co/mg6TWzEHCf",2021-05-19 13:13:27,Cali,"Bogotá, D.C., Colombia",1395004676643475456,https://twitter.com/i/web/stuatus/1395004676643475456
"#Mujeres I “La policía no me cuida”

Varias organizaciones han demostrado, según estadísticas, que cada vez aumenta más el número de mujeres víctimas de abuso por parte de agentes de la Policía Nacional y del Esmad

Continúa. https://t.co/f1HaziUloa",2021-05-19 12:50:36,Cali,Colombia,1394998925396905985,https://twitter.com/i/web/stuatus/1394998925396905985
"#MamadosDe la policía y el ESMAD

#ReformaPoliciaYa",2021-05-19 12:49:16,Cali,"Bogotá, DC, Colombia",1394998591106736130,https://twitter.com/i/web/stuatus/1394998591106736130
@lbertoortiz @ManosLimpiasCo #YoMarchoPor Todos los Civiles Indefensos que Fueron Asesinados por la Policía Nacional ó ESMAD,2021-05-19 12:48:40,Cali,"Candelaria, Colombia",1394998441735036928,https://twitter.com/i/web/stuatus/1394998441735036928
"@Diego_Molano No mienta más... La orden es matar a toda costa, la policía representada por el ESMAD llega a atacar, no pueden ver una aglomeración llamada marcha o plantón pacífica pq la orden es dispersar con gases vencidos!!! Mentiroso...",2021-05-19 12:47:56,Cali,Colombia,1394998254618791936,https://twitter.com/i/web/stuatus/1394998254618791936
"@oscar_cortes @DePacotilla @darcyquinnr @CaracolRadio Exactamente eso deberia estar pensando el gobierno, qué por favor la policia y el ESMAD dejé de tirarle piedras a las viviendas de las personas, qué dejen de insertar rabia y verguenza a esa institución qué de por sí necesita un cambio estructural de fondo.",2021-05-19 12:39:30,Cali,"Bogotá, D.C., Colombia",1394996130920943618,https://twitter.com/i/web/stuatus/1394996130920943618
"@IvanDuque #ParoNacional18M Presidente inútil, enjuicia a los marchantes y no a la policía, esmad, militares que han violentado los derechos humanos de la población inerme.",2021-05-19 12:39:14,Cali,Colombia,1394996067469561857,https://twitter.com/i/web/stuatus/1394996067469561857
"@nanacuartas @JorgeIvanOspina Si es verdad, esos vándalos del ESMAD y la policía por ejemplo el día que llegamos desde puerto resistencia a Univallle, nos tiraron gases, esos al final son lo q vandalizan las marchas pacíficas",2021-05-19 12:30:58,Cali,Santiago de cali,1394993984443912192,https://twitter.com/i/web/stuatus/1394993984443912192
@MabelLaraNews Como dijo el presidente ha hecho mucho daño el show mediático de videos de hace 4 años y de abusos de la policía en otro país con mismo uniforme que el ESMAD y todo esto financiado por quien sabe quien pero lo están financiando 🙄🙄,2021-05-19 12:22:47,Cali,"Bogotá, D.C., Colombia",1394991927054028805,https://twitter.com/i/web/stuatus/1394991927054028805
"Ya dejen de exigir a Claudia López q detenga los abusos de policía y Esmad...a ellos los dirigen los empresarios de transmilleno..
Porque siempre atacan en cuando se afecta la movilidad de sus troncales??.......",2021-05-19 12:19:36,Cali,"Bogotá, D.C., Colombia",1394991124364906496,https://twitter.com/i/web/stuatus/1394991124364906496
"@ClaudiaLopez Con actos agresivos de parte del ESMAD, POLICIA y POLICIAS DE CIVIL disparando, tirando piedras, acido, violando, golpeando, Matando, ultrajandoa  la protesta Pacifica que esperaba que respondieramos por besos y abrazos. Como usted misma dice "" NO SEÑORRRRRRRRRR, ALCAGUETAS""",2021-05-19 12:18:26,Cali,cali valle,1394990831145295877,https://twitter.com/i/web/stuatus/1394990831145295877
"La @PoliciaColombia debe estar al servicio de la ciudadanía y tener su entera confianza. No tiene sentido si no es así. Junto con ACABAR el ESMAD es necesaria una reforma RADICAL a la policía. 
#ParoNacional19M https://t.co/tOJbPPHg7y",2021-05-19 12:14:26,Cali,Colombia,1394989825376260097,https://twitter.com/i/web/stuatus/1394989825376260097
"@heidy_up Eso si, ella es experta en lavarse las manos, nosotros desde Usme estamos pidiendo a la alcaldesa local que nos de la cara y le baje a la policía y al esmad pero es amiga de Claudia y actúan igual.
Nos tocara protestar frente a la casa de la alcaldesa local.",2021-05-19 12:07:31,Cali,"Bogotá, D.C., Colombia",1394988082718519300,https://twitter.com/i/web/stuatus/1394988082718519300
